No overlap between train and test sets.
[107]	train-logloss:0.00322	train-auc:1.00000	eval-logloss:0.16699	eval-auc:0.59526
[108]	train-logloss:0.00315	train-auc:1.00000	eval-logloss:0.16727	eval-auc:0.59572
[109]	train-logloss:0.00311	train-auc:1.00000	eval-logloss:0.16760	eval-auc:0.59437
[110]	train-logloss:0.00307	train-auc:1.00000	eval-logloss:0.16798	eval-auc:0.59486
[111]	train-logloss:0.00302	train-auc:1.00000	eval-logloss:0.16827	eval-auc:0.59412
[112]	train-logloss:0.00296	train-auc:1.00000	eval-logloss:0.16830	eval-auc:0.59497
[113]	train-logloss:0.00286	train-auc:1.00000	eval-logloss:0.16849	eval-auc:0.59544
[114]	train-logloss:0.00281	train-auc:1.00000	eval-logloss:0.16907	eval-auc:0.59502
[115]	train-logloss:0.00274	train-auc:1.00000	eval-logloss:0.17033	eval-auc:0.59240
[116]	train-logloss:0.00266	train-auc:1.00000	eval-logloss:0.17154	eval-auc:0.59056
[117]	train-logloss:0.00261	train-auc:1.00000	eval-logloss:0.17179	eval-auc:0.58968
[118]	train-logloss:0.00259	train-auc:1.00000	eval-logloss:0.17193	eval-auc:0.59035
[119]	train-logloss:0.00257	train-auc:1.00000	eval-logloss:0.17200	eval-auc:0.59048
[120]	train-logloss:0.00254	train-auc:1.00000	eval-logloss:0.17251	eval-auc:0.58918
[121]	train-logloss:0.00248	train-auc:1.00000	eval-logloss:0.17266	eval-auc:0.58981
[122]	train-logloss:0.00246	train-auc:1.00000	eval-logloss:0.17274	eval-auc:0.58960
[123]	train-logloss:0.00242	train-auc:1.00000	eval-logloss:0.17300	eval-auc:0.58942
[124]	train-logloss:0.00238	train-auc:1.00000	eval-logloss:0.17304	eval-auc:0.59137
[125]	train-logloss:0.00234	train-auc:1.00000	eval-logloss:0.17347	eval-auc:0.59141
[126]	train-logloss:0.00229	train-auc:1.00000	eval-logloss:0.17350	eval-auc:0.59267
[127]	train-logloss:0.00225	train-auc:1.00000	eval-logloss:0.17401	eval-auc:0.59175
[128]	train-logloss:0.00217	train-auc:1.00000	eval-logloss:0.17461	eval-auc:0.59154
[129]	train-logloss:0.00212	train-auc:1.00000	eval-logloss:0.17496	eval-auc:0.59173
[130]	train-logloss:0.00208	train-auc:1.00000	eval-logloss:0.17523	eval-auc:0.59272
[131]	train-logloss:0.00203	train-auc:1.00000	eval-logloss:0.17607	eval-auc:0.59264
[132]	train-logloss:0.00200	train-auc:1.00000	eval-logloss:0.17629	eval-auc:0.59278
[133]	train-logloss:0.00196	train-auc:1.00000	eval-logloss:0.17678	eval-auc:0.59153
[134]	train-logloss:0.00191	train-auc:1.00000	eval-logloss:0.17698	eval-auc:0.59081
[135]	train-logloss:0.00189	train-auc:1.00000	eval-logloss:0.17724	eval-auc:0.58975
[136]	train-logloss:0.00186	train-auc:1.00000	eval-logloss:0.17739	eval-auc:0.58964
[137]	train-logloss:0.00182	train-auc:1.00000	eval-logloss:0.17734	eval-auc:0.59189
[138]	train-logloss:0.00178	train-auc:1.00000	eval-logloss:0.17809	eval-auc:0.59135
[139]	train-logloss:0.00175	train-auc:1.00000	eval-logloss:0.17841	eval-auc:0.59317
[140]	train-logloss:0.00171	train-auc:1.00000	eval-logloss:0.17867	eval-auc:0.59363
[141]	train-logloss:0.00168	train-auc:1.00000	eval-logloss:0.17913	eval-auc:0.59333
[142]	train-logloss:0.00166	train-auc:1.00000	eval-logloss:0.17920	eval-auc:0.59331
[143]	train-logloss:0.00164	train-auc:1.00000	eval-logloss:0.17920	eval-auc:0.59393
[144]	train-logloss:0.00161	train-auc:1.00000	eval-logloss:0.17939	eval-auc:0.59467
[145]	train-logloss:0.00158	train-auc:1.00000	eval-logloss:0.17973	eval-auc:0.59452
[146]	train-logloss:0.00155	train-auc:1.00000	eval-logloss:0.18003	eval-auc:0.59560
[147]	train-logloss:0.00152	train-auc:1.00000	eval-logloss:0.18028	eval-auc:0.59651
[148]	train-logloss:0.00151	train-auc:1.00000	eval-logloss:0.18033	eval-auc:0.59690
[149]	train-logloss:0.00149	train-auc:1.00000	eval-logloss:0.18057	eval-auc:0.59709
[150]	train-logloss:0.00148	train-auc:1.00000	eval-logloss:0.18073	eval-auc:0.59647
[151]	train-logloss:0.00146	train-auc:1.00000	eval-logloss:0.18096	eval-auc:0.59635
[152]	train-logloss:0.00145	train-auc:1.00000	eval-logloss:0.18105	eval-auc:0.59666
[153]	train-logloss:0.00143	train-auc:1.00000	eval-logloss:0.18146	eval-auc:0.59552
[154]	train-logloss:0.00142	train-auc:1.00000	eval-logloss:0.18171	eval-auc:0.59514
[155]	train-logloss:0.00141	train-auc:1.00000	eval-logloss:0.18182	eval-auc:0.59569
[156]	train-logloss:0.00139	train-auc:1.00000	eval-logloss:0.18237	eval-auc:0.59565
[157]	train-logloss:0.00136	train-auc:1.00000	eval-logloss:0.18243	eval-auc:0.59668
[158]	train-logloss:0.00135	train-auc:1.00000	eval-logloss:0.18267	eval-auc:0.59666
[159]	train-logloss:0.00134	train-auc:1.00000	eval-logloss:0.18294	eval-auc:0.59653
[160]	train-logloss:0.00131	train-auc:1.00000	eval-logloss:0.18323	eval-auc:0.59691
[161]	train-logloss:0.00130	train-auc:1.00000	eval-logloss:0.18348	eval-auc:0.59627
[162]	train-logloss:0.00128	train-auc:1.00000	eval-logloss:0.18368	eval-auc:0.59643
[163]	train-logloss:0.00127	train-auc:1.00000	eval-logloss:0.18368	eval-auc:0.59748
[164]	train-logloss:0.00126	train-auc:1.00000	eval-logloss:0.18383	eval-auc:0.59796
[165]	train-logloss:0.00125	train-auc:1.00000	eval-logloss:0.18387	eval-auc:0.59811
[166]	train-logloss:0.00124	train-auc:1.00000	eval-logloss:0.18407	eval-auc:0.59815
[167]	train-logloss:0.00123	train-auc:1.00000	eval-logloss:0.18429	eval-auc:0.59782
[168]	train-logloss:0.00122	train-auc:1.00000	eval-logloss:0.18504	eval-auc:0.59683
[169]	train-logloss:0.00120	train-auc:1.00000	eval-logloss:0.18515	eval-auc:0.59804
[170]	train-logloss:0.00117	train-auc:1.00000	eval-logloss:0.18596	eval-auc:0.59668
[171]	train-logloss:0.00116	train-auc:1.00000	eval-logloss:0.18628	eval-auc:0.59635
[172]	train-logloss:0.00115	train-auc:1.00000	eval-logloss:0.18640	eval-auc:0.59676
[173]	train-logloss:0.00113	train-auc:1.00000	eval-logloss:0.18663	eval-auc:0.59678
[174]	train-logloss:0.00112	train-auc:1.00000	eval-logloss:0.18663	eval-auc:0.59740
[175]	train-logloss:0.00110	train-auc:1.00000	eval-logloss:0.18734	eval-auc:0.59758
[176]	train-logloss:0.00109	train-auc:1.00000	eval-logloss:0.18762	eval-auc:0.59740
[177]	train-logloss:0.00108	train-auc:1.00000	eval-logloss:0.18807	eval-auc:0.59763
[178]	train-logloss:0.00106	train-auc:1.00000	eval-logloss:0.18826	eval-auc:0.59835
[179]	train-logloss:0.00105	train-auc:1.00000	eval-logloss:0.18895	eval-auc:0.59665
[180]	train-logloss:0.00105	train-auc:1.00000	eval-logloss:0.18931	eval-auc:0.59612
[181]	train-logloss:0.00103	train-auc:1.00000	eval-logloss:0.18967	eval-auc:0.59552
[182]	train-logloss:0.00102	train-auc:1.00000	eval-logloss:0.18986	eval-auc:0.59563
[183]	train-logloss:0.00101	train-auc:1.00000	eval-logloss:0.19004	eval-auc:0.59662
[184]	train-logloss:0.00099	train-auc:1.00000	eval-logloss:0.19042	eval-auc:0.59604
[185]	train-logloss:0.00098	train-auc:1.00000	eval-logloss:0.19067	eval-auc:0.59562
[186]	train-logloss:0.00097	train-auc:1.00000	eval-logloss:0.19082	eval-auc:0.59648
[187]	train-logloss:0.00096	train-auc:1.00000	eval-logloss:0.19132	eval-auc:0.59631
[188]	train-logloss:0.00096	train-auc:1.00000	eval-logloss:0.19153	eval-auc:0.59636
[189]	train-logloss:0.00095	train-auc:1.00000	eval-logloss:0.19205	eval-auc:0.59615
[190]	train-logloss:0.00094	train-auc:1.00000	eval-logloss:0.19277	eval-auc:0.59415
[191]	train-logloss:0.00093	train-auc:1.00000	eval-logloss:0.19292	eval-auc:0.59477
[192]	train-logloss:0.00092	train-auc:1.00000	eval-logloss:0.19308	eval-auc:0.59525
[193]	train-logloss:0.00091	train-auc:1.00000	eval-logloss:0.19314	eval-auc:0.59504
[194]	train-logloss:0.00090	train-auc:1.00000	eval-logloss:0.19347	eval-auc:0.59445
[195]	train-logloss:0.00089	train-auc:1.00000	eval-logloss:0.19340	eval-auc:0.59494
[196]	train-logloss:0.00089	train-auc:1.00000	eval-logloss:0.19345	eval-auc:0.59497
[197]	train-logloss:0.00088	train-auc:1.00000	eval-logloss:0.19353	eval-auc:0.59538
[198]	train-logloss:0.00087	train-auc:1.00000	eval-logloss:0.19365	eval-auc:0.59487
[199]	train-logloss:0.00086	train-auc:1.00000	eval-logloss:0.19405	eval-auc:0.59411
Confusion Matrix:
[[12527    21]
 [  281    47]]
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions_vae_20250513_214356.csv
