No overlap between train and test sets.
[128]	train-logloss:0.00786	train-auc:0.99999	eval-logloss:0.18065	eval-auc:0.59733
[129]	train-logloss:0.00772	train-auc:0.99999	eval-logloss:0.18168	eval-auc:0.59688
[130]	train-logloss:0.00763	train-auc:0.99999	eval-logloss:0.18201	eval-auc:0.59656
[131]	train-logloss:0.00757	train-auc:0.99999	eval-logloss:0.18256	eval-auc:0.59718
[132]	train-logloss:0.00753	train-auc:0.99999	eval-logloss:0.18277	eval-auc:0.59667
[133]	train-logloss:0.00745	train-auc:0.99999	eval-logloss:0.18326	eval-auc:0.59737
[134]	train-logloss:0.00735	train-auc:0.99999	eval-logloss:0.18384	eval-auc:0.59662
[135]	train-logloss:0.00731	train-auc:0.99999	eval-logloss:0.18416	eval-auc:0.59696
[136]	train-logloss:0.00719	train-auc:0.99999	eval-logloss:0.18415	eval-auc:0.59972
[137]	train-logloss:0.00713	train-auc:0.99999	eval-logloss:0.18446	eval-auc:0.59969
[138]	train-logloss:0.00705	train-auc:0.99999	eval-logloss:0.18458	eval-auc:0.59999
[139]	train-logloss:0.00695	train-auc:0.99999	eval-logloss:0.18513	eval-auc:0.59881
[140]	train-logloss:0.00679	train-auc:0.99999	eval-logloss:0.18525	eval-auc:0.59968
[141]	train-logloss:0.00669	train-auc:1.00000	eval-logloss:0.18549	eval-auc:0.59931
[142]	train-logloss:0.00665	train-auc:1.00000	eval-logloss:0.18557	eval-auc:0.59980
[143]	train-logloss:0.00659	train-auc:1.00000	eval-logloss:0.18589	eval-auc:0.60025
[144]	train-logloss:0.00654	train-auc:0.99999	eval-logloss:0.18597	eval-auc:0.60063
[145]	train-logloss:0.00641	train-auc:1.00000	eval-logloss:0.18600	eval-auc:0.60253
[146]	train-logloss:0.00632	train-auc:1.00000	eval-logloss:0.18607	eval-auc:0.60324
[147]	train-logloss:0.00625	train-auc:1.00000	eval-logloss:0.18620	eval-auc:0.60305
[148]	train-logloss:0.00618	train-auc:1.00000	eval-logloss:0.18658	eval-auc:0.60314
[149]	train-logloss:0.00611	train-auc:1.00000	eval-logloss:0.18662	eval-auc:0.60287
[150]	train-logloss:0.00607	train-auc:1.00000	eval-logloss:0.18675	eval-auc:0.60336
[151]	train-logloss:0.00601	train-auc:1.00000	eval-logloss:0.18701	eval-auc:0.60328
[152]	train-logloss:0.00596	train-auc:1.00000	eval-logloss:0.18742	eval-auc:0.60184
[153]	train-logloss:0.00587	train-auc:1.00000	eval-logloss:0.18877	eval-auc:0.59938
[154]	train-logloss:0.00584	train-auc:1.00000	eval-logloss:0.18864	eval-auc:0.60123
[155]	train-logloss:0.00575	train-auc:1.00000	eval-logloss:0.18941	eval-auc:0.59983
