No overlap between train and test sets.
[90]	train-logloss:0.01742	train-auc:0.99825	eval-logloss:0.17033	eval-auc:0.52786
[91]	train-logloss:0.01726	train-auc:0.99829	eval-logloss:0.17083	eval-auc:0.52791
[92]	train-logloss:0.01713	train-auc:0.99830	eval-logloss:0.17129	eval-auc:0.52790
[93]	train-logloss:0.01694	train-auc:0.99837	eval-logloss:0.17139	eval-auc:0.52903
[94]	train-logloss:0.01677	train-auc:0.99854	eval-logloss:0.17133	eval-auc:0.52988
[95]	train-logloss:0.01661	train-auc:0.99856	eval-logloss:0.17223	eval-auc:0.52884
[96]	train-logloss:0.01644	train-auc:0.99858	eval-logloss:0.17216	eval-auc:0.53066
[97]	train-logloss:0.01623	train-auc:0.99865	eval-logloss:0.17232	eval-auc:0.52993
[98]	train-logloss:0.01555	train-auc:0.99898	eval-logloss:0.17345	eval-auc:0.53072
[99]	train-logloss:0.01543	train-auc:0.99899	eval-logloss:0.17347	eval-auc:0.53202
[100]	train-logloss:0.01531	train-auc:0.99909	eval-logloss:0.17366	eval-auc:0.53153
[101]	train-logloss:0.01500	train-auc:0.99920	eval-logloss:0.17394	eval-auc:0.53081
[102]	train-logloss:0.01490	train-auc:0.99920	eval-logloss:0.17468	eval-auc:0.52998
[103]	train-logloss:0.01463	train-auc:0.99925	eval-logloss:0.17539	eval-auc:0.52821
[104]	train-logloss:0.01427	train-auc:0.99937	eval-logloss:0.17638	eval-auc:0.52738
[105]	train-logloss:0.01414	train-auc:0.99938	eval-logloss:0.17651	eval-auc:0.53037
[106]	train-logloss:0.01382	train-auc:0.99945	eval-logloss:0.17694	eval-auc:0.53037
[107]	train-logloss:0.01356	train-auc:0.99951	eval-logloss:0.17732	eval-auc:0.53091
[108]	train-logloss:0.01345	train-auc:0.99951	eval-logloss:0.17740	eval-auc:0.53138
[109]	train-logloss:0.01330	train-auc:0.99953	eval-logloss:0.17746	eval-auc:0.53284
[110]	train-logloss:0.01301	train-auc:0.99959	eval-logloss:0.17775	eval-auc:0.53318
[111]	train-logloss:0.01284	train-auc:0.99960	eval-logloss:0.17879	eval-auc:0.53015
[112]	train-logloss:0.01278	train-auc:0.99960	eval-logloss:0.17923	eval-auc:0.52995
[113]	train-logloss:0.01272	train-auc:0.99960	eval-logloss:0.17939	eval-auc:0.53084
[114]	train-logloss:0.01259	train-auc:0.99961	eval-logloss:0.18033	eval-auc:0.52850
[115]	train-logloss:0.01246	train-auc:0.99962	eval-logloss:0.18081	eval-auc:0.52903
[116]	train-logloss:0.01237	train-auc:0.99964	eval-logloss:0.18095	eval-auc:0.52907
[117]	train-logloss:0.01208	train-auc:0.99965	eval-logloss:0.18162	eval-auc:0.52879
[118]	train-logloss:0.01186	train-auc:0.99968	eval-logloss:0.18172	eval-auc:0.52912
[119]	train-logloss:0.01165	train-auc:0.99970	eval-logloss:0.18164	eval-auc:0.53012
[120]	train-logloss:0.01162	train-auc:0.99971	eval-logloss:0.18185	eval-auc:0.52979
[121]	train-logloss:0.01153	train-auc:0.99971	eval-logloss:0.18224	eval-auc:0.52917
[122]	train-logloss:0.01138	train-auc:0.99972	eval-logloss:0.18296	eval-auc:0.52833
[123]	train-logloss:0.01117	train-auc:0.99976	eval-logloss:0.18304	eval-auc:0.52896
[124]	train-logloss:0.01103	train-auc:0.99979	eval-logloss:0.18316	eval-auc:0.52899
[125]	train-logloss:0.01092	train-auc:0.99979	eval-logloss:0.18376	eval-auc:0.52910
[126]	train-logloss:0.01081	train-auc:0.99981	eval-logloss:0.18370	eval-auc:0.53005
[127]	train-logloss:0.01070	train-auc:0.99982	eval-logloss:0.18419	eval-auc:0.53139
[128]	train-logloss:0.01047	train-auc:0.99984	eval-logloss:0.18430	eval-auc:0.53232
