No overlap between train and test sets.
[124]	train-logloss:0.00348	train-auc:1.00000	eval-logloss:0.20036	eval-auc:0.51857
[125]	train-logloss:0.00345	train-auc:1.00000	eval-logloss:0.20065	eval-auc:0.51827
[126]	train-logloss:0.00337	train-auc:1.00000	eval-logloss:0.20153	eval-auc:0.51723
[127]	train-logloss:0.00333	train-auc:1.00000	eval-logloss:0.20208	eval-auc:0.51705
[128]	train-logloss:0.00325	train-auc:1.00000	eval-logloss:0.20228	eval-auc:0.51682
[129]	train-logloss:0.00318	train-auc:1.00000	eval-logloss:0.20261	eval-auc:0.51640
[130]	train-logloss:0.00314	train-auc:1.00000	eval-logloss:0.20330	eval-auc:0.51568
[131]	train-logloss:0.00307	train-auc:1.00000	eval-logloss:0.20472	eval-auc:0.51290
[132]	train-logloss:0.00301	train-auc:1.00000	eval-logloss:0.20516	eval-auc:0.51541
[133]	train-logloss:0.00294	train-auc:1.00000	eval-logloss:0.20582	eval-auc:0.51523
[134]	train-logloss:0.00289	train-auc:1.00000	eval-logloss:0.20597	eval-auc:0.51658
[135]	train-logloss:0.00282	train-auc:1.00000	eval-logloss:0.20641	eval-auc:0.51542
[136]	train-logloss:0.00280	train-auc:1.00000	eval-logloss:0.20670	eval-auc:0.51461
[137]	train-logloss:0.00276	train-auc:1.00000	eval-logloss:0.20701	eval-auc:0.51527
[138]	train-logloss:0.00273	train-auc:1.00000	eval-logloss:0.20749	eval-auc:0.51492
[139]	train-logloss:0.00269	train-auc:1.00000	eval-logloss:0.20772	eval-auc:0.51533
[140]	train-logloss:0.00264	train-auc:1.00000	eval-logloss:0.20778	eval-auc:0.51526
[141]	train-logloss:0.00259	train-auc:1.00000	eval-logloss:0.20834	eval-auc:0.51488
[142]	train-logloss:0.00256	train-auc:1.00000	eval-logloss:0.20855	eval-auc:0.51577
[143]	train-logloss:0.00254	train-auc:1.00000	eval-logloss:0.20876	eval-auc:0.51550
[144]	train-logloss:0.00252	train-auc:1.00000	eval-logloss:0.20909	eval-auc:0.51591
[145]	train-logloss:0.00249	train-auc:1.00000	eval-logloss:0.20955	eval-auc:0.51538
[146]	train-logloss:0.00247	train-auc:1.00000	eval-logloss:0.20971	eval-auc:0.51550
[147]	train-logloss:0.00246	train-auc:1.00000	eval-logloss:0.20995	eval-auc:0.51563
[148]	train-logloss:0.00241	train-auc:1.00000	eval-logloss:0.21030	eval-auc:0.51585
[149]	train-logloss:0.00236	train-auc:1.00000	eval-logloss:0.21071	eval-auc:0.51537
[150]	train-logloss:0.00232	train-auc:1.00000	eval-logloss:0.21124	eval-auc:0.51699
[151]	train-logloss:0.00230	train-auc:1.00000	eval-logloss:0.21191	eval-auc:0.51426
[152]	train-logloss:0.00227	train-auc:1.00000	eval-logloss:0.21258	eval-auc:0.51332
[153]	train-logloss:0.00223	train-auc:1.00000	eval-logloss:0.21287	eval-auc:0.51335
[154]	train-logloss:0.00219	train-auc:1.00000	eval-logloss:0.21339	eval-auc:0.51392
[155]	train-logloss:0.00216	train-auc:1.00000	eval-logloss:0.21376	eval-auc:0.51349
[156]	train-logloss:0.00213	train-auc:1.00000	eval-logloss:0.21448	eval-auc:0.51249
[157]	train-logloss:0.00208	train-auc:1.00000	eval-logloss:0.21548	eval-auc:0.51034
[158]	train-logloss:0.00205	train-auc:1.00000	eval-logloss:0.21576	eval-auc:0.51089
[159]	train-logloss:0.00201	train-auc:1.00000	eval-logloss:0.21666	eval-auc:0.50940
[160]	train-logloss:0.00197	train-auc:1.00000	eval-logloss:0.21708	eval-auc:0.51054
[161]	train-logloss:0.00195	train-auc:1.00000	eval-logloss:0.21739	eval-auc:0.51096
[162]	train-logloss:0.00193	train-auc:1.00000	eval-logloss:0.21767	eval-auc:0.51128
[163]	train-logloss:0.00189	train-auc:1.00000	eval-logloss:0.21838	eval-auc:0.51140
[164]	train-logloss:0.00186	train-auc:1.00000	eval-logloss:0.21865	eval-auc:0.51152
[165]	train-logloss:0.00184	train-auc:1.00000	eval-logloss:0.21852	eval-auc:0.51185
[166]	train-logloss:0.00182	train-auc:1.00000	eval-logloss:0.21905	eval-auc:0.51133
[167]	train-logloss:0.00180	train-auc:1.00000	eval-logloss:0.21922	eval-auc:0.51236
[168]	train-logloss:0.00179	train-auc:1.00000	eval-logloss:0.21953	eval-auc:0.51221
[169]	train-logloss:0.00177	train-auc:1.00000	eval-logloss:0.21964	eval-auc:0.51225
[170]	train-logloss:0.00175	train-auc:1.00000	eval-logloss:0.21966	eval-auc:0.51310
[171]	train-logloss:0.00172	train-auc:1.00000	eval-logloss:0.21998	eval-auc:0.51311
[172]	train-logloss:0.00169	train-auc:1.00000	eval-logloss:0.22053	eval-auc:0.51455
[173]	train-logloss:0.00167	train-auc:1.00000	eval-logloss:0.22105	eval-auc:0.51321
[174]	train-logloss:0.00166	train-auc:1.00000	eval-logloss:0.22127	eval-auc:0.51325
[175]	train-logloss:0.00164	train-auc:1.00000	eval-logloss:0.22129	eval-auc:0.51380
[176]	train-logloss:0.00162	train-auc:1.00000	eval-logloss:0.22139	eval-auc:0.51534
[177]	train-logloss:0.00160	train-auc:1.00000	eval-logloss:0.22154	eval-auc:0.51578
[178]	train-logloss:0.00159	train-auc:1.00000	eval-logloss:0.22161	eval-auc:0.51659
[179]	train-logloss:0.00158	train-auc:1.00000	eval-logloss:0.22250	eval-auc:0.51522
[180]	train-logloss:0.00157	train-auc:1.00000	eval-logloss:0.22267	eval-auc:0.51590
[181]	train-logloss:0.00155	train-auc:1.00000	eval-logloss:0.22285	eval-auc:0.51609
[182]	train-logloss:0.00154	train-auc:1.00000	eval-logloss:0.22261	eval-auc:0.51863
[183]	train-logloss:0.00152	train-auc:1.00000	eval-logloss:0.22289	eval-auc:0.51838
[184]	train-logloss:0.00150	train-auc:1.00000	eval-logloss:0.22314	eval-auc:0.51865
[185]	train-logloss:0.00148	train-auc:1.00000	eval-logloss:0.22352	eval-auc:0.51814
[186]	train-logloss:0.00146	train-auc:1.00000	eval-logloss:0.22379	eval-auc:0.51792
[187]	train-logloss:0.00144	train-auc:1.00000	eval-logloss:0.22422	eval-auc:0.51760
[188]	train-logloss:0.00142	train-auc:1.00000	eval-logloss:0.22445	eval-auc:0.51742
[189]	train-logloss:0.00140	train-auc:1.00000	eval-logloss:0.22465	eval-auc:0.51820
[190]	train-logloss:0.00139	train-auc:1.00000	eval-logloss:0.22486	eval-auc:0.51854
[191]	train-logloss:0.00138	train-auc:1.00000	eval-logloss:0.22576	eval-auc:0.51706
[192]	train-logloss:0.00136	train-auc:1.00000	eval-logloss:0.22588	eval-auc:0.51805
[193]	train-logloss:0.00135	train-auc:1.00000	eval-logloss:0.22629	eval-auc:0.51794
[194]	train-logloss:0.00133	train-auc:1.00000	eval-logloss:0.22650	eval-auc:0.51845
[195]	train-logloss:0.00131	train-auc:1.00000	eval-logloss:0.22690	eval-auc:0.51773
[196]	train-logloss:0.00131	train-auc:1.00000	eval-logloss:0.22691	eval-auc:0.51767
[197]	train-logloss:0.00129	train-auc:1.00000	eval-logloss:0.22732	eval-auc:0.51861
[198]	train-logloss:0.00128	train-auc:1.00000	eval-logloss:0.22780	eval-auc:0.51781
[199]	train-logloss:0.00127	train-auc:1.00000	eval-logloss:0.22790	eval-auc:0.51802
Confusion Matrix:
[[12543     5]
 [  328     0]]
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions.csv
