No overlap between train and test sets.
[107]	train-logloss:0.00527	train-auc:1.00000	eval-logloss:0.17315	eval-auc:0.56485
[108]	train-logloss:0.00513	train-auc:1.00000	eval-logloss:0.17413	eval-auc:0.56329
[109]	train-logloss:0.00509	train-auc:1.00000	eval-logloss:0.17431	eval-auc:0.56347
[110]	train-logloss:0.00498	train-auc:1.00000	eval-logloss:0.17474	eval-auc:0.56495
[111]	train-logloss:0.00482	train-auc:1.00000	eval-logloss:0.17555	eval-auc:0.56470
[112]	train-logloss:0.00473	train-auc:1.00000	eval-logloss:0.17605	eval-auc:0.56392
[113]	train-logloss:0.00461	train-auc:1.00000	eval-logloss:0.17645	eval-auc:0.56467
[114]	train-logloss:0.00451	train-auc:1.00000	eval-logloss:0.17726	eval-auc:0.56366
[115]	train-logloss:0.00439	train-auc:1.00000	eval-logloss:0.17796	eval-auc:0.56314
[116]	train-logloss:0.00429	train-auc:1.00000	eval-logloss:0.17853	eval-auc:0.56362
[117]	train-logloss:0.00419	train-auc:1.00000	eval-logloss:0.17916	eval-auc:0.56421
[118]	train-logloss:0.00410	train-auc:1.00000	eval-logloss:0.17954	eval-auc:0.56404
[119]	train-logloss:0.00407	train-auc:1.00000	eval-logloss:0.17975	eval-auc:0.56342
[120]	train-logloss:0.00403	train-auc:1.00000	eval-logloss:0.17983	eval-auc:0.56369
[121]	train-logloss:0.00396	train-auc:1.00000	eval-logloss:0.18042	eval-auc:0.56359
[122]	train-logloss:0.00386	train-auc:1.00000	eval-logloss:0.18054	eval-auc:0.56564
[123]	train-logloss:0.00379	train-auc:1.00000	eval-logloss:0.18078	eval-auc:0.56585
[124]	train-logloss:0.00371	train-auc:1.00000	eval-logloss:0.18124	eval-auc:0.56695
[125]	train-logloss:0.00361	train-auc:1.00000	eval-logloss:0.18194	eval-auc:0.56600
[126]	train-logloss:0.00352	train-auc:1.00000	eval-logloss:0.18263	eval-auc:0.56546
[127]	train-logloss:0.00344	train-auc:1.00000	eval-logloss:0.18339	eval-auc:0.56480
[128]	train-logloss:0.00338	train-auc:1.00000	eval-logloss:0.18409	eval-auc:0.56303
[129]	train-logloss:0.00333	train-auc:1.00000	eval-logloss:0.18453	eval-auc:0.56282
[130]	train-logloss:0.00330	train-auc:1.00000	eval-logloss:0.18518	eval-auc:0.56194
[131]	train-logloss:0.00321	train-auc:1.00000	eval-logloss:0.18555	eval-auc:0.56201
[132]	train-logloss:0.00318	train-auc:1.00000	eval-logloss:0.18605	eval-auc:0.56084
[133]	train-logloss:0.00316	train-auc:1.00000	eval-logloss:0.18624	eval-auc:0.56106
[134]	train-logloss:0.00311	train-auc:1.00000	eval-logloss:0.18671	eval-auc:0.56099
[135]	train-logloss:0.00301	train-auc:1.00000	eval-logloss:0.18716	eval-auc:0.56269
[136]	train-logloss:0.00297	train-auc:1.00000	eval-logloss:0.18757	eval-auc:0.56227
[137]	train-logloss:0.00290	train-auc:1.00000	eval-logloss:0.18844	eval-auc:0.56087
[138]	train-logloss:0.00288	train-auc:1.00000	eval-logloss:0.18853	eval-auc:0.56092
[139]	train-logloss:0.00281	train-auc:1.00000	eval-logloss:0.18885	eval-auc:0.56147
[140]	train-logloss:0.00273	train-auc:1.00000	eval-logloss:0.18936	eval-auc:0.56179
[141]	train-logloss:0.00268	train-auc:1.00000	eval-logloss:0.18963	eval-auc:0.56240
[142]	train-logloss:0.00266	train-auc:1.00000	eval-logloss:0.18963	eval-auc:0.56294
[143]	train-logloss:0.00264	train-auc:1.00000	eval-logloss:0.18965	eval-auc:0.56315
[144]	train-logloss:0.00257	train-auc:1.00000	eval-logloss:0.18995	eval-auc:0.56299
[145]	train-logloss:0.00251	train-auc:1.00000	eval-logloss:0.19030	eval-auc:0.56414
[146]	train-logloss:0.00248	train-auc:1.00000	eval-logloss:0.19051	eval-auc:0.56463
[147]	train-logloss:0.00244	train-auc:1.00000	eval-logloss:0.19057	eval-auc:0.56606
[148]	train-logloss:0.00241	train-auc:1.00000	eval-logloss:0.19102	eval-auc:0.56500
[149]	train-logloss:0.00237	train-auc:1.00000	eval-logloss:0.19130	eval-auc:0.56530
[150]	train-logloss:0.00234	train-auc:1.00000	eval-logloss:0.19140	eval-auc:0.56588
[151]	train-logloss:0.00229	train-auc:1.00000	eval-logloss:0.19178	eval-auc:0.56601
[152]	train-logloss:0.00228	train-auc:1.00000	eval-logloss:0.19193	eval-auc:0.56618
[153]	train-logloss:0.00225	train-auc:1.00000	eval-logloss:0.19250	eval-auc:0.56497
[154]	train-logloss:0.00222	train-auc:1.00000	eval-logloss:0.19283	eval-auc:0.56468
[155]	train-logloss:0.00218	train-auc:1.00000	eval-logloss:0.19330	eval-auc:0.56447
[156]	train-logloss:0.00214	train-auc:1.00000	eval-logloss:0.19372	eval-auc:0.56506
[157]	train-logloss:0.00212	train-auc:1.00000	eval-logloss:0.19388	eval-auc:0.56538
[158]	train-logloss:0.00210	train-auc:1.00000	eval-logloss:0.19414	eval-auc:0.56524
[159]	train-logloss:0.00208	train-auc:1.00000	eval-logloss:0.19421	eval-auc:0.56580
[160]	train-logloss:0.00206	train-auc:1.00000	eval-logloss:0.19422	eval-auc:0.56621
[161]	train-logloss:0.00202	train-auc:1.00000	eval-logloss:0.19468	eval-auc:0.56557
[162]	train-logloss:0.00199	train-auc:1.00000	eval-logloss:0.19503	eval-auc:0.56596
[163]	train-logloss:0.00196	train-auc:1.00000	eval-logloss:0.19560	eval-auc:0.56501
[164]	train-logloss:0.00193	train-auc:1.00000	eval-logloss:0.19607	eval-auc:0.56463
[165]	train-logloss:0.00190	train-auc:1.00000	eval-logloss:0.19675	eval-auc:0.56408
[166]	train-logloss:0.00187	train-auc:1.00000	eval-logloss:0.19705	eval-auc:0.56404
[167]	train-logloss:0.00187	train-auc:1.00000	eval-logloss:0.19723	eval-auc:0.56395
[168]	train-logloss:0.00185	train-auc:1.00000	eval-logloss:0.19732	eval-auc:0.56461
[169]	train-logloss:0.00181	train-auc:1.00000	eval-logloss:0.19786	eval-auc:0.56364
[170]	train-logloss:0.00178	train-auc:1.00000	eval-logloss:0.19785	eval-auc:0.56475
[171]	train-logloss:0.00176	train-auc:1.00000	eval-logloss:0.19826	eval-auc:0.56469
[172]	train-logloss:0.00173	train-auc:1.00000	eval-logloss:0.19855	eval-auc:0.56528
[173]	train-logloss:0.00172	train-auc:1.00000	eval-logloss:0.19901	eval-auc:0.56488
[174]	train-logloss:0.00169	train-auc:1.00000	eval-logloss:0.19927	eval-auc:0.56496
[175]	train-logloss:0.00166	train-auc:1.00000	eval-logloss:0.19964	eval-auc:0.56483
[176]	train-logloss:0.00165	train-auc:1.00000	eval-logloss:0.20022	eval-auc:0.56378
[177]	train-logloss:0.00164	train-auc:1.00000	eval-logloss:0.20036	eval-auc:0.56374
[178]	train-logloss:0.00163	train-auc:1.00000	eval-logloss:0.20053	eval-auc:0.56369
[179]	train-logloss:0.00162	train-auc:1.00000	eval-logloss:0.20115	eval-auc:0.56253
[180]	train-logloss:0.00161	train-auc:1.00000	eval-logloss:0.20135	eval-auc:0.56204
[181]	train-logloss:0.00159	train-auc:1.00000	eval-logloss:0.20156	eval-auc:0.56239
[182]	train-logloss:0.00157	train-auc:1.00000	eval-logloss:0.20198	eval-auc:0.56205
