No overlap between train and test sets.
[145]	train-logloss:0.00257	train-auc:1.00000	eval-logloss:0.18309	eval-auc:0.56408
[146]	train-logloss:0.00252	train-auc:1.00000	eval-logloss:0.18355	eval-auc:0.56377
[147]	train-logloss:0.00249	train-auc:1.00000	eval-logloss:0.18409	eval-auc:0.56274
[148]	train-logloss:0.00248	train-auc:1.00000	eval-logloss:0.18453	eval-auc:0.56184
[149]	train-logloss:0.00246	train-auc:1.00000	eval-logloss:0.18491	eval-auc:0.56201
[150]	train-logloss:0.00243	train-auc:1.00000	eval-logloss:0.18518	eval-auc:0.56171
[151]	train-logloss:0.00240	train-auc:1.00000	eval-logloss:0.18530	eval-auc:0.56191
[152]	train-logloss:0.00238	train-auc:1.00000	eval-logloss:0.18546	eval-auc:0.56189
[153]	train-logloss:0.00233	train-auc:1.00000	eval-logloss:0.18562	eval-auc:0.56367
[154]	train-logloss:0.00230	train-auc:1.00000	eval-logloss:0.18591	eval-auc:0.56491
[155]	train-logloss:0.00228	train-auc:1.00000	eval-logloss:0.18603	eval-auc:0.56499
[156]	train-logloss:0.00225	train-auc:1.00000	eval-logloss:0.18621	eval-auc:0.56484
[157]	train-logloss:0.00222	train-auc:1.00000	eval-logloss:0.18673	eval-auc:0.56312
[158]	train-logloss:0.00220	train-auc:1.00000	eval-logloss:0.18708	eval-auc:0.56192
[159]	train-logloss:0.00217	train-auc:1.00000	eval-logloss:0.18740	eval-auc:0.56189
[160]	train-logloss:0.00214	train-auc:1.00000	eval-logloss:0.18768	eval-auc:0.56266
[161]	train-logloss:0.00212	train-auc:1.00000	eval-logloss:0.18784	eval-auc:0.56459
[162]	train-logloss:0.00210	train-auc:1.00000	eval-logloss:0.18792	eval-auc:0.56499
[163]	train-logloss:0.00209	train-auc:1.00000	eval-logloss:0.18821	eval-auc:0.56620
[164]	train-logloss:0.00207	train-auc:1.00000	eval-logloss:0.18862	eval-auc:0.56591
[165]	train-logloss:0.00205	train-auc:1.00000	eval-logloss:0.18878	eval-auc:0.56631
[166]	train-logloss:0.00203	train-auc:1.00000	eval-logloss:0.18908	eval-auc:0.56646
[167]	train-logloss:0.00201	train-auc:1.00000	eval-logloss:0.18923	eval-auc:0.56756
[168]	train-logloss:0.00198	train-auc:1.00000	eval-logloss:0.18939	eval-auc:0.56737
[169]	train-logloss:0.00197	train-auc:1.00000	eval-logloss:0.18992	eval-auc:0.56643
[170]	train-logloss:0.00195	train-auc:1.00000	eval-logloss:0.18998	eval-auc:0.56640
[171]	train-logloss:0.00193	train-auc:1.00000	eval-logloss:0.19031	eval-auc:0.56624
[172]	train-logloss:0.00191	train-auc:1.00000	eval-logloss:0.19051	eval-auc:0.56641
[173]	train-logloss:0.00190	train-auc:1.00000	eval-logloss:0.19059	eval-auc:0.56654
[174]	train-logloss:0.00188	train-auc:1.00000	eval-logloss:0.19116	eval-auc:0.56551
[175]	train-logloss:0.00186	train-auc:1.00000	eval-logloss:0.19169	eval-auc:0.56508
[176]	train-logloss:0.00185	train-auc:1.00000	eval-logloss:0.19181	eval-auc:0.56480
[177]	train-logloss:0.00184	train-auc:1.00000	eval-logloss:0.19243	eval-auc:0.56350
[178]	train-logloss:0.00182	train-auc:1.00000	eval-logloss:0.19258	eval-auc:0.56326
[179]	train-logloss:0.00181	train-auc:1.00000	eval-logloss:0.19319	eval-auc:0.56302
[180]	train-logloss:0.00178	train-auc:1.00000	eval-logloss:0.19366	eval-auc:0.56285
[181]	train-logloss:0.00175	train-auc:1.00000	eval-logloss:0.19370	eval-auc:0.56315
[182]	train-logloss:0.00173	train-auc:1.00000	eval-logloss:0.19368	eval-auc:0.56388
[183]	train-logloss:0.00172	train-auc:1.00000	eval-logloss:0.19416	eval-auc:0.56322
[184]	train-logloss:0.00169	train-auc:1.00000	eval-logloss:0.19466	eval-auc:0.56267
[185]	train-logloss:0.00168	train-auc:1.00000	eval-logloss:0.19471	eval-auc:0.56291
[186]	train-logloss:0.00167	train-auc:1.00000	eval-logloss:0.19485	eval-auc:0.56288
[187]	train-logloss:0.00165	train-auc:1.00000	eval-logloss:0.19493	eval-auc:0.56323
[188]	train-logloss:0.00162	train-auc:1.00000	eval-logloss:0.19559	eval-auc:0.56215
[189]	train-logloss:0.00162	train-auc:1.00000	eval-logloss:0.19563	eval-auc:0.56256
[190]	train-logloss:0.00161	train-auc:1.00000	eval-logloss:0.19565	eval-auc:0.56360
[191]	train-logloss:0.00160	train-auc:1.00000	eval-logloss:0.19554	eval-auc:0.56401
[192]	train-logloss:0.00159	train-auc:1.00000	eval-logloss:0.19565	eval-auc:0.56480
[193]	train-logloss:0.00157	train-auc:1.00000	eval-logloss:0.19636	eval-auc:0.56341
[194]	train-logloss:0.00157	train-auc:1.00000	eval-logloss:0.19629	eval-auc:0.56429
[195]	train-logloss:0.00156	train-auc:1.00000	eval-logloss:0.19653	eval-auc:0.56408
[196]	train-logloss:0.00155	train-auc:1.00000	eval-logloss:0.19672	eval-auc:0.56447
[197]	train-logloss:0.00153	train-auc:1.00000	eval-logloss:0.19688	eval-auc:0.56518
[198]	train-logloss:0.00152	train-auc:1.00000	eval-logloss:0.19694	eval-auc:0.56564
[199]	train-logloss:0.00151	train-auc:1.00000	eval-logloss:0.19738	eval-auc:0.56515
Confusion Matrix:
[[12551     0]
 [  277    51]]
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions_ffill_20250514_013133.csv
