No overlap between train and test sets.
[138]	train-logloss:0.00461	train-auc:1.00000	eval-logloss:0.16866	eval-auc:0.61474
[139]	train-logloss:0.00455	train-auc:1.00000	eval-logloss:0.16929	eval-auc:0.61330
[140]	train-logloss:0.00452	train-auc:1.00000	eval-logloss:0.16984	eval-auc:0.61207
[141]	train-logloss:0.00447	train-auc:1.00000	eval-logloss:0.16994	eval-auc:0.61324
[142]	train-logloss:0.00443	train-auc:1.00000	eval-logloss:0.16998	eval-auc:0.61360
[143]	train-logloss:0.00436	train-auc:1.00000	eval-logloss:0.17058	eval-auc:0.61273
[144]	train-logloss:0.00431	train-auc:1.00000	eval-logloss:0.17064	eval-auc:0.61307
[145]	train-logloss:0.00428	train-auc:1.00000	eval-logloss:0.17089	eval-auc:0.61254
[146]	train-logloss:0.00415	train-auc:1.00000	eval-logloss:0.17152	eval-auc:0.61228
[147]	train-logloss:0.00412	train-auc:1.00000	eval-logloss:0.17196	eval-auc:0.61188
[148]	train-logloss:0.00408	train-auc:1.00000	eval-logloss:0.17195	eval-auc:0.61302
[149]	train-logloss:0.00405	train-auc:1.00000	eval-logloss:0.17202	eval-auc:0.61320
[150]	train-logloss:0.00400	train-auc:1.00000	eval-logloss:0.17214	eval-auc:0.61396
[151]	train-logloss:0.00396	train-auc:1.00000	eval-logloss:0.17227	eval-auc:0.61428
[152]	train-logloss:0.00393	train-auc:1.00000	eval-logloss:0.17238	eval-auc:0.61476
[153]	train-logloss:0.00389	train-auc:1.00000	eval-logloss:0.17283	eval-auc:0.61517
[154]	train-logloss:0.00385	train-auc:1.00000	eval-logloss:0.17285	eval-auc:0.61522
[155]	train-logloss:0.00382	train-auc:1.00000	eval-logloss:0.17353	eval-auc:0.61426
[156]	train-logloss:0.00379	train-auc:1.00000	eval-logloss:0.17403	eval-auc:0.61393
[157]	train-logloss:0.00377	train-auc:1.00000	eval-logloss:0.17432	eval-auc:0.61326
[158]	train-logloss:0.00372	train-auc:1.00000	eval-logloss:0.17452	eval-auc:0.61296
[159]	train-logloss:0.00368	train-auc:1.00000	eval-logloss:0.17453	eval-auc:0.61378
[160]	train-logloss:0.00366	train-auc:1.00000	eval-logloss:0.17460	eval-auc:0.61397
[161]	train-logloss:0.00361	train-auc:1.00000	eval-logloss:0.17480	eval-auc:0.61372
[162]	train-logloss:0.00358	train-auc:1.00000	eval-logloss:0.17507	eval-auc:0.61452
[163]	train-logloss:0.00357	train-auc:1.00000	eval-logloss:0.17524	eval-auc:0.61453
[164]	train-logloss:0.00351	train-auc:1.00000	eval-logloss:0.17572	eval-auc:0.61387
[165]	train-logloss:0.00346	train-auc:1.00000	eval-logloss:0.17635	eval-auc:0.61339
[166]	train-logloss:0.00340	train-auc:1.00000	eval-logloss:0.17660	eval-auc:0.61378
[167]	train-logloss:0.00338	train-auc:1.00000	eval-logloss:0.17662	eval-auc:0.61408
[168]	train-logloss:0.00329	train-auc:1.00000	eval-logloss:0.17664	eval-auc:0.61423
[169]	train-logloss:0.00325	train-auc:1.00000	eval-logloss:0.17655	eval-auc:0.61496
[170]	train-logloss:0.00322	train-auc:1.00000	eval-logloss:0.17685	eval-auc:0.61466
[171]	train-logloss:0.00321	train-auc:1.00000	eval-logloss:0.17681	eval-auc:0.61502
[172]	train-logloss:0.00319	train-auc:1.00000	eval-logloss:0.17721	eval-auc:0.61457
[173]	train-logloss:0.00315	train-auc:1.00000	eval-logloss:0.17736	eval-auc:0.61460
[174]	train-logloss:0.00313	train-auc:1.00000	eval-logloss:0.17739	eval-auc:0.61496
