No overlap between train and test sets.
[117]	train-logloss:0.00243	train-auc:1.00000	eval-logloss:0.18184	eval-auc:0.57133
[118]	train-logloss:0.00239	train-auc:1.00000	eval-logloss:0.18248	eval-auc:0.57165
[119]	train-logloss:0.00235	train-auc:1.00000	eval-logloss:0.18316	eval-auc:0.57280
[120]	train-logloss:0.00230	train-auc:1.00000	eval-logloss:0.18340	eval-auc:0.57401
[121]	train-logloss:0.00227	train-auc:1.00000	eval-logloss:0.18358	eval-auc:0.57415
[122]	train-logloss:0.00222	train-auc:1.00000	eval-logloss:0.18418	eval-auc:0.57359
[123]	train-logloss:0.00219	train-auc:1.00000	eval-logloss:0.18453	eval-auc:0.57303
[124]	train-logloss:0.00215	train-auc:1.00000	eval-logloss:0.18508	eval-auc:0.57236
[125]	train-logloss:0.00214	train-auc:1.00000	eval-logloss:0.18515	eval-auc:0.57252
[126]	train-logloss:0.00209	train-auc:1.00000	eval-logloss:0.18557	eval-auc:0.57371
[127]	train-logloss:0.00208	train-auc:1.00000	eval-logloss:0.18598	eval-auc:0.57269
[128]	train-logloss:0.00206	train-auc:1.00000	eval-logloss:0.18646	eval-auc:0.57242
[129]	train-logloss:0.00202	train-auc:1.00000	eval-logloss:0.18673	eval-auc:0.57267
[130]	train-logloss:0.00199	train-auc:1.00000	eval-logloss:0.18702	eval-auc:0.57259
[131]	train-logloss:0.00197	train-auc:1.00000	eval-logloss:0.18754	eval-auc:0.57128
[132]	train-logloss:0.00194	train-auc:1.00000	eval-logloss:0.18788	eval-auc:0.57136
[133]	train-logloss:0.00189	train-auc:1.00000	eval-logloss:0.18855	eval-auc:0.57081
[134]	train-logloss:0.00187	train-auc:1.00000	eval-logloss:0.18889	eval-auc:0.57113
[135]	train-logloss:0.00182	train-auc:1.00000	eval-logloss:0.18947	eval-auc:0.57045
[136]	train-logloss:0.00179	train-auc:1.00000	eval-logloss:0.18978	eval-auc:0.57114
[137]	train-logloss:0.00177	train-auc:1.00000	eval-logloss:0.18990	eval-auc:0.57156
[138]	train-logloss:0.00175	train-auc:1.00000	eval-logloss:0.19050	eval-auc:0.57038
[139]	train-logloss:0.00171	train-auc:1.00000	eval-logloss:0.19103	eval-auc:0.57069
[140]	train-logloss:0.00168	train-auc:1.00000	eval-logloss:0.19142	eval-auc:0.57038
[141]	train-logloss:0.00167	train-auc:1.00000	eval-logloss:0.19165	eval-auc:0.57026
[142]	train-logloss:0.00164	train-auc:1.00000	eval-logloss:0.19182	eval-auc:0.57064
[143]	train-logloss:0.00162	train-auc:1.00000	eval-logloss:0.19249	eval-auc:0.56991
[144]	train-logloss:0.00160	train-auc:1.00000	eval-logloss:0.19284	eval-auc:0.56904
[145]	train-logloss:0.00157	train-auc:1.00000	eval-logloss:0.19355	eval-auc:0.56987
[146]	train-logloss:0.00154	train-auc:1.00000	eval-logloss:0.19394	eval-auc:0.56977
[147]	train-logloss:0.00151	train-auc:1.00000	eval-logloss:0.19400	eval-auc:0.57028
[148]	train-logloss:0.00149	train-auc:1.00000	eval-logloss:0.19458	eval-auc:0.56920
[149]	train-logloss:0.00145	train-auc:1.00000	eval-logloss:0.19563	eval-auc:0.56844
[150]	train-logloss:0.00143	train-auc:1.00000	eval-logloss:0.19603	eval-auc:0.56836
[151]	train-logloss:0.00142	train-auc:1.00000	eval-logloss:0.19626	eval-auc:0.56845
