No overlap between train and test sets.
[100]	train-logloss:0.00892	train-auc:0.99986	eval-logloss:0.18571	eval-auc:0.52407
[101]	train-logloss:0.00877	train-auc:0.99986	eval-logloss:0.18625	eval-auc:0.52393
[102]	train-logloss:0.00871	train-auc:0.99987	eval-logloss:0.18643	eval-auc:0.52599
[103]	train-logloss:0.00862	train-auc:0.99987	eval-logloss:0.18670	eval-auc:0.52580
[104]	train-logloss:0.00855	train-auc:0.99987	eval-logloss:0.18729	eval-auc:0.52477
[105]	train-logloss:0.00837	train-auc:0.99989	eval-logloss:0.18750	eval-auc:0.52542
[106]	train-logloss:0.00831	train-auc:0.99989	eval-logloss:0.18777	eval-auc:0.52511
[107]	train-logloss:0.00817	train-auc:0.99991	eval-logloss:0.18791	eval-auc:0.52711
[108]	train-logloss:0.00810	train-auc:0.99991	eval-logloss:0.18801	eval-auc:0.52824
[109]	train-logloss:0.00802	train-auc:0.99991	eval-logloss:0.18815	eval-auc:0.52848
[110]	train-logloss:0.00792	train-auc:0.99992	eval-logloss:0.18849	eval-auc:0.52820
[111]	train-logloss:0.00775	train-auc:0.99994	eval-logloss:0.18916	eval-auc:0.52728
[112]	train-logloss:0.00766	train-auc:0.99994	eval-logloss:0.19010	eval-auc:0.52609
[113]	train-logloss:0.00762	train-auc:0.99994	eval-logloss:0.19030	eval-auc:0.52615
[114]	train-logloss:0.00756	train-auc:0.99995	eval-logloss:0.19035	eval-auc:0.52647
[115]	train-logloss:0.00750	train-auc:0.99995	eval-logloss:0.19020	eval-auc:0.52736
[116]	train-logloss:0.00743	train-auc:0.99995	eval-logloss:0.19042	eval-auc:0.52733
[117]	train-logloss:0.00738	train-auc:0.99995	eval-logloss:0.19059	eval-auc:0.52742
[118]	train-logloss:0.00726	train-auc:0.99996	eval-logloss:0.19096	eval-auc:0.52834
[119]	train-logloss:0.00718	train-auc:0.99996	eval-logloss:0.19091	eval-auc:0.53035
[120]	train-logloss:0.00711	train-auc:0.99996	eval-logloss:0.19145	eval-auc:0.53023
[121]	train-logloss:0.00700	train-auc:0.99996	eval-logloss:0.19185	eval-auc:0.53011
[122]	train-logloss:0.00687	train-auc:0.99996	eval-logloss:0.19262	eval-auc:0.53003
[123]	train-logloss:0.00673	train-auc:0.99997	eval-logloss:0.19268	eval-auc:0.53175
[124]	train-logloss:0.00662	train-auc:0.99997	eval-logloss:0.19310	eval-auc:0.53118
[125]	train-logloss:0.00652	train-auc:0.99997	eval-logloss:0.19339	eval-auc:0.53177
[126]	train-logloss:0.00646	train-auc:0.99997	eval-logloss:0.19349	eval-auc:0.53168
[127]	train-logloss:0.00639	train-auc:0.99997	eval-logloss:0.19382	eval-auc:0.53226
[128]	train-logloss:0.00634	train-auc:0.99997	eval-logloss:0.19382	eval-auc:0.53299
[129]	train-logloss:0.00629	train-auc:0.99997	eval-logloss:0.19445	eval-auc:0.53241
[130]	train-logloss:0.00625	train-auc:0.99997	eval-logloss:0.19470	eval-auc:0.53366
[131]	train-logloss:0.00621	train-auc:0.99997	eval-logloss:0.19494	eval-auc:0.53451
[132]	train-logloss:0.00611	train-auc:0.99998	eval-logloss:0.19532	eval-auc:0.53446
[133]	train-logloss:0.00608	train-auc:0.99998	eval-logloss:0.19579	eval-auc:0.53332
[134]	train-logloss:0.00601	train-auc:0.99998	eval-logloss:0.19626	eval-auc:0.53425
[135]	train-logloss:0.00593	train-auc:0.99998	eval-logloss:0.19656	eval-auc:0.53374
[136]	train-logloss:0.00588	train-auc:0.99998	eval-logloss:0.19687	eval-auc:0.53363
[137]	train-logloss:0.00580	train-auc:0.99998	eval-logloss:0.19739	eval-auc:0.53306
[138]	train-logloss:0.00576	train-auc:0.99998	eval-logloss:0.19768	eval-auc:0.53214
[139]	train-logloss:0.00563	train-auc:0.99998	eval-logloss:0.19808	eval-auc:0.53276
[140]	train-logloss:0.00554	train-auc:0.99999	eval-logloss:0.19869	eval-auc:0.53066
[141]	train-logloss:0.00547	train-auc:0.99999	eval-logloss:0.19892	eval-auc:0.53204
[142]	train-logloss:0.00536	train-auc:0.99999	eval-logloss:0.19941	eval-auc:0.53243
[143]	train-logloss:0.00525	train-auc:0.99999	eval-logloss:0.19960	eval-auc:0.53376
[144]	train-logloss:0.00519	train-auc:0.99999	eval-logloss:0.19969	eval-auc:0.53384
[145]	train-logloss:0.00511	train-auc:0.99999	eval-logloss:0.19994	eval-auc:0.53432
[146]	train-logloss:0.00504	train-auc:0.99999	eval-logloss:0.20043	eval-auc:0.53345
[147]	train-logloss:0.00501	train-auc:0.99999	eval-logloss:0.20078	eval-auc:0.53353
[148]	train-logloss:0.00493	train-auc:0.99999	eval-logloss:0.20144	eval-auc:0.53493
[149]	train-logloss:0.00486	train-auc:0.99999	eval-logloss:0.20174	eval-auc:0.53515
[150]	train-logloss:0.00484	train-auc:0.99999	eval-logloss:0.20202	eval-auc:0.53482
[151]	train-logloss:0.00480	train-auc:0.99999	eval-logloss:0.20241	eval-auc:0.53529
[152]	train-logloss:0.00472	train-auc:0.99999	eval-logloss:0.20270	eval-auc:0.53584
[153]	train-logloss:0.00465	train-auc:0.99999	eval-logloss:0.20358	eval-auc:0.53537
[154]	train-logloss:0.00458	train-auc:0.99999	eval-logloss:0.20388	eval-auc:0.53463
[155]	train-logloss:0.00455	train-auc:0.99999	eval-logloss:0.20409	eval-auc:0.53639
[156]	train-logloss:0.00452	train-auc:0.99999	eval-logloss:0.20417	eval-auc:0.53691
[157]	train-logloss:0.00445	train-auc:1.00000	eval-logloss:0.20412	eval-auc:0.53653
[158]	train-logloss:0.00438	train-auc:1.00000	eval-logloss:0.20438	eval-auc:0.53659
[159]	train-logloss:0.00431	train-auc:1.00000	eval-logloss:0.20470	eval-auc:0.53658
[160]	train-logloss:0.00429	train-auc:1.00000	eval-logloss:0.20481	eval-auc:0.53689
[161]	train-logloss:0.00426	train-auc:1.00000	eval-logloss:0.20524	eval-auc:0.53609
[162]	train-logloss:0.00422	train-auc:1.00000	eval-logloss:0.20593	eval-auc:0.53524
[163]	train-logloss:0.00418	train-auc:1.00000	eval-logloss:0.20605	eval-auc:0.53711
[164]	train-logloss:0.00412	train-auc:1.00000	eval-logloss:0.20653	eval-auc:0.53531
[165]	train-logloss:0.00407	train-auc:1.00000	eval-logloss:0.20672	eval-auc:0.53603
